gene,landmark,target,pam50,source
AARS1,1,0,0,landmark
ABCC5,1,0,0,landmark
ABCF1,1,0,0,landmark
ABHD4,1,0,0,landmark
ABHD6,1,0,0,landmark
ABL1,1,0,0,landmark
ACAA1,1,0,0,landmark
ACAT2,1,0,0,landmark
ACBD3,1,0,0,landmark
ACD,1,0,0,landmark
ACLY,1,0,0,landmark
ACO2,0,1,0,target
ACTB,0,1,0,target
ACTR1A,0,1,0,target
ACTR3B,0,0,1,pam50
ADAM10,1,0,0,landmark
ADAT1,1,0,0,landmark
ADH5,1,0,0,landmark
ADI1,1,0,0,landmark
ADO,1,0,0,landmark
ADRB2,1,0,0,landmark
ADSL,0,1,0,target
AGL,1,0,0,landmark
AK6,0,1,0,target
AKAP8,1,0,0,landmark
AKAP8L,1,0,0,landmark
AKR7A2,1,0,0,landmark
AKT1,1,0,0,landmark
ALAS1,1,0,0,landmark
ALDH7A1,1,0,0,landmark
ALDOA,1,1,0,"landmark,target"
ALG13,0,1,0,target
AMDHD2,1,0,0,landmark
ANKLE2,0,1,0,target
ANKRD10,1,0,0,landmark
ANLN,0,0,1,pam50
ANO10,1,0,0,landmark
ANXA7,1,0,0,landmark
APBB2,1,0,0,landmark
APOE,1,0,0,landmark
APP,1,0,0,landmark
APPBP2,1,0,0,landmark
ARFIP2,1,0,0,landmark
ARHGAP1,1,0,0,landmark
ARHGEF12,1,0,0,landmark
ARHGEF2,1,0,0,landmark
ARID4B,1,0,0,landmark
ARID5B,1,0,0,landmark
ARL4C,1,0,0,landmark
ARNT2,1,0,0,landmark
ARPP19,1,0,0,landmark
ASAH1,1,0,0,landmark
ASCC3,1,0,0,landmark
ATF1,1,0,0,landmark
ATF5,1,0,0,landmark
ATF6,1,0,0,landmark
ATG3,1,0,0,landmark
ATMIN,1,0,0,landmark
ATP11B,1,0,0,landmark
ATP1A1,0,1,0,target
ATP1B1,1,0,0,landmark
ATP2C1,1,0,0,landmark
ATP6AP1,0,1,0,target
ATP6V0B,1,0,0,landmark
ATP6V0C,0,1,0,target
ATP6V1A,0,1,0,target
ATP6V1B2,0,1,0,target
ATP6V1D,1,0,0,landmark
ATP6V1F,0,1,0,target
AURKA,1,0,0,landmark
AURKB,1,0,0,landmark
AXIN1,1,0,0,landmark
BACE2,1,0,0,landmark
BAD,1,0,0,landmark
BAG1,0,0,1,pam50
BAG3,1,0,0,landmark
BAMBI,1,0,0,landmark
BAX,1,0,0,landmark
BCL2,1,0,1,"landmark,pam50"
BCL2L1,0,1,0,target
BCL7B,1,0,0,landmark
BDH1,1,0,0,landmark
BECN1,1,0,0,landmark
BHLHE40,1,0,0,landmark
BID,1,0,0,landmark
BIRC2,1,0,0,landmark
BIRC5,1,0,1,"landmark,pam50"
BLCAP,1,0,0,landmark
BLMH,1,0,0,landmark
BLVRA,1,0,1,"landmark,pam50"
BMP4,1,0,0,landmark
BNIP3,1,0,0,landmark
BNIP3L,1,0,0,landmark
BPHL,1,0,0,landmark
BRCA1,1,0,0,landmark
BUB3,0,1,0,target
BZW2,1,0,0,landmark
C2CD2,1,0,0,landmark
C2CD2L,1,0,0,landmark
C2CD5,1,0,0,landmark
C5,1,0,0,landmark
CAB39,1,0,0,landmark
CALM3,1,0,0,landmark
CALU,1,0,0,landmark
CAMSAP2,1,0,0,landmark
CANT1,1,0,0,landmark
CAPN1,1,0,0,landmark
CASC3,1,0,0,landmark
CASP10,1,0,0,landmark
CASP2,1,0,0,landmark
CASP3,1,0,0,landmark
CASP7,1,0,0,landmark
CAST,1,0,0,landmark
CAT,1,0,0,landmark
CBFB,0,1,0,target
CBLB,1,0,0,landmark
CBR1,1,0,0,landmark
CBR3,1,0,0,landmark
CCDC85B,1,0,0,landmark
CCDC86,1,0,0,landmark
CCDC92,1,0,0,landmark
CCL2,1,0,0,landmark
CCNA1,1,0,0,landmark
CCNA2,1,0,0,landmark
CCNB1,1,0,1,"landmark,pam50"
CCND1,1,1,0,"landmark,target"
CCND3,1,0,0,landmark
CCNE1,0,0,1,pam50
CCNE2,1,0,0,landmark
CCNF,1,0,0,landmark
CCNH,1,0,0,landmark
CCP110,1,0,0,landmark
CD320,1,0,0,landmark
CD40,1,0,0,landmark
CD44,1,0,0,landmark
CDAN1,0,1,0,target
CDC20,1,0,1,"landmark,pam50"
CDC25A,1,0,0,landmark
CDC25B,1,0,0,landmark
CDC42,1,1,0,"landmark,target"
CDC45,1,1,0,"landmark,target"
CDC6,0,0,1,pam50
CDCA4,1,0,0,landmark
CDH3,1,0,1,"landmark,pam50"
CDK1,1,1,0,"landmark,target"
CDK19,1,0,0,landmark
CDK2,1,0,0,landmark
CDK4,1,1,0,"landmark,target"
CDK5R1,1,0,0,landmark
CDK6,1,1,0,"landmark,target"
CDK7,1,0,0,landmark
CDKN1B,1,0,0,landmark
CDKN2A,1,0,0,landmark
CEBPD,1,0,0,landmark
CEBPZ,1,0,0,landmark
CENPE,1,0,0,landmark
CENPF,0,0,1,pam50
CENPW,0,1,0,target
CEP55,0,0,1,pam50
CEP57,1,0,0,landmark
CERK,1,0,0,landmark
CETN3,1,0,0,landmark
CFL1,0,1,0,target
CFLAR,1,1,0,"landmark,target"
CGRRF1,1,0,0,landmark
CHAC1,1,0,0,landmark
CHAF1B,0,1,0,target
CHEK1,1,0,0,landmark
CHEK2,1,0,0,landmark
CHIC2,1,0,0,landmark
CHMP4B,0,1,0,target
CHMP6,1,0,0,landmark
CHN1,1,0,0,landmark
CIAO3,1,0,0,landmark
CIAPIN1,1,0,0,landmark
CIRBP,1,0,0,landmark
CISD1,1,0,0,landmark
CLIC4,1,0,0,landmark
CLPX,1,0,0,landmark
CLSTN1,1,0,0,landmark
CLTB,1,0,0,landmark
CLTC,1,0,0,landmark
CNDP2,1,0,0,landmark
CNOT4,1,0,0,landmark
CNPY3,1,0,0,landmark
COASY,1,0,0,landmark
COG2,1,0,0,landmark
COG4,1,0,0,landmark
COG7,1,0,0,landmark
COL1A1,1,0,0,landmark
COL4A1,1,0,0,landmark
COPB2,1,0,0,landmark
COPG1,0,1,0,target
COPS7A,1,0,0,landmark
CORO1A,1,0,0,landmark
CPNE3,1,0,0,landmark
CPSF4,1,0,0,landmark
CREB1,1,0,0,landmark
CREG1,1,0,0,landmark
CRELD2,1,0,0,landmark
CRK,1,0,0,landmark
CRKL,1,1,0,"landmark,target"
CRTAP,1,0,0,landmark
CRYZ,1,0,0,landmark
CSK,1,0,0,landmark
CSNK1A1,1,0,0,landmark
CSNK1E,1,0,0,landmark
CSNK2A2,1,0,0,landmark
CSRP1,1,0,0,landmark
CTNNAL1,1,0,0,landmark
CTNND1,1,0,0,landmark
CTPS1,0,1,0,target
CTTN,1,0,0,landmark
CXCL2,1,0,0,landmark
CXCR4,1,0,0,landmark
CXXC5,0,0,1,pam50
CYB561,1,0,0,landmark
CYTH1,1,0,0,landmark
DAG1,1,0,0,landmark
DAXX,1,0,0,landmark
DBR1,0,1,0,target
DCK,1,0,0,landmark
DCTD,1,0,0,landmark
DCUN1D4,1,0,0,landmark
DDB2,1,0,0,landmark
DDIT4,1,0,0,landmark
DDR1,1,0,0,landmark
DDX10,1,0,0,landmark
DDX3X,0,1,0,target
DDX42,1,0,0,landmark
DECR1,1,0,0,landmark
DENND2D,1,0,0,landmark
DERA,1,0,0,landmark
DFFA,1,0,0,landmark
DFFB,1,0,0,landmark
DHDDS,1,0,0,landmark
DHFR,0,1,0,target
DHRS7,1,0,0,landmark
DHX29,1,0,0,landmark
DIPK1A,1,0,0,landmark
DLD,1,0,0,landmark
DMTF1,1,0,0,landmark
DNAJA3,1,0,0,landmark
DNAJB1,1,0,0,landmark
DNAJB2,1,0,0,landmark
DNAJB6,1,0,0,landmark
DNAJC15,1,0,0,landmark
DNAJC9,0,1,0,target
DNM1,1,0,0,landmark
DNM1L,1,0,0,landmark
DNM2,0,1,0,target
DNMT1,1,0,0,landmark
DNMT3A,1,0,0,landmark
DNTTIP2,1,0,0,landmark
DONSON,0,1,0,target
DPAGT1,0,1,0,target
DPH2,1,0,0,landmark
DRAP1,1,0,0,landmark
DSG2,1,0,0,landmark
DTYMK,0,1,0,target
DUSP11,1,0,0,landmark
DUSP14,1,0,0,landmark
DUSP22,1,0,0,landmark
DUSP3,1,0,0,landmark
DUSP4,1,0,0,landmark
DUSP6,1,0,0,landmark
DUT,0,1,0,target
DYNLRB1,0,1,0,target
DYRK3,1,0,0,landmark
E2F2,1,0,0,landmark
EAPP,1,0,0,landmark
EBNA1BP2,1,0,0,landmark
ECD,1,0,0,landmark
ECH1,1,0,0,landmark
EDEM1,1,0,0,landmark
EDN1,1,0,0,landmark
EED,1,0,0,landmark
EEF1A1,0,1,0,target
EEF2,0,1,0,target
EFCAB14,1,0,0,landmark
EFR3A,0,1,0,target
EGF,1,0,0,landmark
EGFR,1,0,1,"landmark,pam50"
EGR1,1,0,0,landmark
EIF1AX,0,1,0,target
EIF4A1,0,1,0,target
EIF4EBP1,1,0,0,landmark
EIF5,1,0,0,landmark
ELAC2,1,0,0,landmark
ELAVL1,1,0,0,landmark
ELL,0,1,0,target
ELOVL6,1,0,0,landmark
EMC3,0,1,0,target
EML3,1,0,0,landmark
ENOPH1,1,0,0,landmark
ENOSF1,1,0,0,landmark
EP300,0,1,0,target
EPB41L2,1,0,0,landmark
EPHA3,1,0,0,landmark
EPHB2,1,0,0,landmark
EPN2,1,0,0,landmark
EPRS1,1,0,0,landmark
ERBB2,1,0,1,"landmark,pam50"
ERBB3,1,0,0,landmark
ESPL1,0,1,0,target
ESR1,0,0,1,pam50
ETFB,1,0,0,landmark
ETS1,1,0,0,landmark
ETV1,1,0,0,landmark
EVL,1,0,0,landmark
EXO1,0,0,1,pam50
EXOSC4,1,0,0,landmark
EXT1,1,0,0,landmark
EZH2,1,0,0,landmark
FAH,1,0,0,landmark
FAIM,1,0,0,landmark
FAM20B,1,0,0,landmark
FAM50A,0,1,0,target
FARSB,0,1,0,target
FAS,1,0,0,landmark
FAT1,1,0,0,landmark
FAU,0,1,0,target
FBXL12,1,0,0,landmark
FBXO11,1,0,0,landmark
FBXO21,1,0,0,landmark
FBXO7,1,0,0,landmark
FCHO1,1,0,0,landmark
FDFT1,1,0,0,landmark
FERMT2,0,1,0,target
FEZ2,1,0,0,landmark
FGFR2,1,0,0,landmark
FGFR4,1,0,1,"landmark,pam50"
FHL2,1,0,0,landmark
FIS1,1,0,0,landmark
FKBP14,1,0,0,landmark
FKBP4,1,0,0,landmark
FOS,1,0,0,landmark
FOSL1,1,0,0,landmark
FOXA1,0,0,1,pam50
FOXC1,0,0,1,pam50
FOXJ3,1,0,0,landmark
FOXO3,1,0,0,landmark
FPGS,1,0,0,landmark
FRS2,1,0,0,landmark
FSD1,1,0,0,landmark
FUT1,1,0,0,landmark
FYN,1,0,0,landmark
FZD1,1,0,0,landmark
FZD7,1,0,0,landmark
G3BP1,1,0,0,landmark
GAA,1,0,0,landmark
GABPB1,1,0,0,landmark
GADD45A,1,0,0,landmark
GADD45B,1,0,0,landmark
GALE,1,0,0,landmark
GAPDH,1,0,0,landmark
GARRE1,1,0,0,landmark
GATA2,1,0,0,landmark
GATA3,1,0,0,landmark
GDPD5,1,0,0,landmark
GET1,1,0,0,landmark
GFOD1,1,0,0,landmark
GFPT1,1,0,0,landmark
GFUS,1,0,0,landmark
GGPS1,0,1,0,target
GHR,1,0,0,landmark
GINS2,0,1,0,target
GLI2,1,0,0,landmark
GLOD4,1,0,0,landmark
GLRX,1,0,0,landmark
GMNN,1,0,0,landmark
GMPS,0,1,0,target
GNA11,1,0,0,landmark
GNA15,1,0,0,landmark
GNAI1,1,0,0,landmark
GNAI2,1,0,0,landmark
GNAS,1,0,0,landmark
GNB5,1,0,0,landmark
GNPDA1,1,0,0,landmark
GOLT1B,1,0,0,landmark
GPATCH8,1,0,0,landmark
GPC1,1,0,0,landmark
GPN2,0,1,0,target
GPR160,0,0,1,pam50
GPX4,0,1,0,target
GRB10,1,0,0,landmark
GRB2,0,1,0,target
GRB7,1,0,1,"landmark,pam50"
GRN,1,0,0,landmark
GRWD1,1,0,0,landmark
GSPT1,0,1,0,target
GSTZ1,1,0,0,landmark
GTF2A2,1,0,0,landmark
GTF2E2,1,0,0,landmark
GTPBP4,0,1,0,target
GTPBP8,1,0,0,landmark
GUK1,0,1,0,target
H2AZ2,1,0,0,landmark
H2BC12,1,0,0,landmark
H2BC15,0,1,0,target
H2BC21,1,0,0,landmark
HADH,1,0,0,landmark
HAT1,1,0,0,landmark
HDAC2,1,0,0,landmark
HEATR1,1,0,0,landmark
HEBP1,1,0,0,landmark
HERC6,1,0,0,landmark
HERPUD1,1,0,0,landmark
HES1,1,0,0,landmark
HK1,1,0,0,landmark
HLA-DRA,1,0,0,landmark
HMG20B,1,0,0,landmark
HMGA2,1,0,0,landmark
HMGCR,1,0,0,landmark
HMGCS1,1,1,0,"landmark,target"
HMOX1,1,0,0,landmark
HNF1B,0,1,0,target
HNRNPH1,0,1,0,target
HOMER2,1,0,0,landmark
HOOK2,1,0,0,landmark
HS2ST1,1,0,0,landmark
HSPA1A,1,0,0,landmark
HSPA4,1,0,0,landmark
HSPA8,1,0,0,landmark
HSPD1,1,0,0,landmark
HTRA1,1,0,0,landmark
HYOU1,1,0,0,landmark
IARS2,1,0,0,landmark
ICAM1,1,0,0,landmark
ICAM3,1,0,0,landmark
ICMT,1,0,0,landmark
ID2,1,0,0,landmark
IDE,1,0,0,landmark
IER3,1,0,0,landmark
IFNAR1,1,0,0,landmark
IFRD2,1,0,0,landmark
IGF1R,1,0,0,landmark
IGF2BP2,1,0,0,landmark
IGF2R,1,0,0,landmark
IGFBP3,1,0,0,landmark
IGHMBP2,1,0,0,landmark
IKBKB,1,0,0,landmark
IKBKE,1,0,0,landmark
IKZF1,1,0,0,landmark
IL1B,1,0,0,landmark
IL4R,1,0,0,landmark
ILK,1,0,0,landmark
INPP1,1,0,0,landmark
INPP4B,1,0,0,landmark
INSIG1,1,0,0,landmark
INTS3,1,0,0,landmark
INTS6,0,1,0,target
IPO13,1,0,0,landmark
IQGAP1,1,0,0,landmark
ISOC1,1,0,0,landmark
ITFG1,1,0,0,landmark
ITGAE,1,0,0,landmark
ITGAV,0,1,0,target
ITGB1BP1,1,0,0,landmark
ITGB5,1,0,0,landmark
JMJD6,1,0,0,landmark
JUN,1,0,0,landmark
KAT6A,1,0,0,landmark
KAT6B,1,0,0,landmark
KCNK1,1,0,0,landmark
KCTD5,1,0,0,landmark
KDM3A,1,0,0,landmark
KDM5A,1,0,0,landmark
KDM5B,1,0,0,landmark
KEAP1,1,1,0,"landmark,target"
KIAA0753,1,0,0,landmark
KIF11,0,1,0,target
KIF14,1,0,0,landmark
KIF18A,0,1,0,target
KIF20A,1,0,0,landmark
KIF2C,1,0,1,"landmark,pam50"
KIF5C,1,0,0,landmark
KIT,1,0,0,landmark
KLF5,0,1,0,target
KLHDC2,1,0,0,landmark
KLHL21,1,0,0,landmark
KLHL9,1,0,0,landmark
KRAS,0,1,0,target
KRT14,0,0,1,pam50
KRT17,0,0,1,pam50
KRT5,0,0,1,pam50
KTN1,1,0,0,landmark
LAMA3,1,0,0,landmark
LAP3,1,0,0,landmark
LBR,1,0,0,landmark
LGALS8,1,0,0,landmark
LGMN,1,0,0,landmark
LIG1,1,0,0,landmark
LIPA,1,0,0,landmark
LONP1,0,1,0,target
LOXL1,1,0,0,landmark
LPAR2,1,0,0,landmark
LPGAT1,1,0,0,landmark
LRP10,1,0,0,landmark
LRPAP1,1,0,0,landmark
LRRC41,1,0,0,landmark
LSM6,1,0,0,landmark
LSM8,0,1,0,target
LSR,1,0,0,landmark
LYN,1,0,0,landmark
LYRM1,1,0,0,landmark
MACF1,1,0,0,landmark
MAD2L2,0,1,0,target
MAGOH,0,1,0,target
MALT1,1,0,0,landmark
MAN2B1,1,0,0,landmark
MAP2K5,1,0,0,landmark
MAP3K4,1,0,0,landmark
MAP4K4,1,0,0,landmark
MAP7,1,0,0,landmark
MAPK13,1,0,0,landmark
MAPK1IP1L,1,0,0,landmark
MAPK9,1,0,0,landmark
MAPKAPK2,1,0,0,landmark
MAPKAPK3,1,0,0,landmark
MAPKAPK5,1,0,0,landmark
MAPT,0,0,1,pam50
MARS2,0,1,0,target
MAST2,1,0,0,landmark
MAT2A,1,1,0,"landmark,target"
MBNL1,1,0,0,landmark
MBNL2,1,0,0,landmark
MBOAT7,1,0,0,landmark
MBTPS1,1,0,0,landmark
MCL1,0,1,0,target
MCM3,1,0,0,landmark
MCOLN1,1,0,0,landmark
MDM2,0,1,1,"target,pam50"
ME2,1,0,0,landmark
MED1,0,1,0,target
MED12,0,1,0,target
MEF2C,1,0,0,landmark
MELK,1,0,1,"landmark,pam50"
MEST,1,0,0,landmark
MFSD10,1,0,0,landmark
MIA,0,0,1,pam50
MICALL1,1,0,0,landmark
MKI67,0,0,1,pam50
MKNK1,1,0,0,landmark
MLEC,1,0,0,landmark
MLLT11,1,0,0,landmark
MLPH,0,0,1,pam50
MMP1,1,0,0,landmark
MMP11,0,0,1,pam50
MMP2,1,0,0,landmark
MMS22L,0,1,0,target
MOK,1,0,0,landmark
MPC2,1,0,0,landmark
MPZL1,1,0,0,landmark
MRPL19,1,0,0,landmark
MRPL33,0,1,0,target
MRPL57,0,1,0,target
MRPS16,1,0,0,landmark
MRPS2,1,0,0,landmark
MSH6,1,0,0,landmark
MSRA,1,0,0,landmark
MSTO1,0,1,0,target
MTA1,1,0,0,landmark
MTF2,1,0,0,landmark
MTFR1,1,0,0,landmark
MTHFD2,1,0,0,landmark
MUC1,1,0,0,landmark
MVP,1,0,0,landmark
MYBL2,1,0,1,"landmark,pam50"
MYC,1,1,1,"landmark,target,pam50"
MYCBP,1,0,0,landmark
MYCBP2,1,0,0,landmark
MYH9,0,1,0,target
MYL9,1,0,0,landmark
MYLK,1,0,0,landmark
MYO10,1,0,0,landmark
NAA10,0,1,0,target
NAPG,0,1,0,target
NAT1,0,0,1,pam50
NCAPD2,1,0,0,landmark
NCAPD3,0,1,0,target
NCK2,1,0,0,landmark
NCOA3,1,0,0,landmark
NELFB,0,1,0,target
NENF,1,0,0,landmark
NET1,1,0,0,landmark
NF2,0,1,0,target
NFATC3,1,0,0,landmark
NFATC4,1,0,0,landmark
NFE2L2,1,0,0,landmark
NFIL3,1,0,0,landmark
NFKB2,1,0,0,landmark
NFKBIA,1,0,0,landmark
NFKBIB,1,0,0,landmark
NFKBIE,1,0,0,landmark
NHLRC2,0,1,0,target
NIPSNAP1,1,0,0,landmark
NISCH,1,0,0,landmark
NIT1,1,0,0,landmark
NMNAT1,0,1,0,target
NMT1,1,0,0,landmark
NNT,1,0,0,landmark
NOL3,1,0,0,landmark
NOLC1,1,0,0,landmark
NOS3,1,0,0,landmark
NOSIP,1,0,0,landmark
NOTCH1,1,0,0,landmark
NPC1,1,0,0,landmark
NPDC1,1,0,0,landmark
NPEPL1,1,0,0,landmark
NPM1,0,1,0,target
NPRL2,1,0,0,landmark
NR1H2,1,0,0,landmark
NR2F6,1,0,0,landmark
NR3C1,1,0,0,landmark
NRAS,1,0,0,landmark
NRIP1,1,0,0,landmark
NSF,0,1,0,target
NT5DC2,1,0,0,landmark
NUCB2,1,0,0,landmark
NUDCD3,1,0,0,landmark
NUDT9,1,0,0,landmark
NUF2,0,0,1,pam50
NUP133,1,0,0,landmark
NUP43,0,1,0,target
NUP85,1,0,0,landmark
NUP88,1,0,0,landmark
NUP93,1,0,0,landmark
NUSAP1,1,0,0,landmark
NVL,1,0,0,landmark
NXT1,0,1,0,target
ORC1,1,0,0,landmark
ORC6,0,1,1,"target,pam50"
OXA1L,1,0,0,landmark
OXCT1,1,0,0,landmark
OXSR1,1,0,0,landmark
P4HA2,1,0,0,landmark
P4HTM,1,0,0,landmark
PACSIN3,1,0,0,landmark
PAF1,1,0,0,landmark
PAFAH1B1,1,0,0,landmark
PAFAH1B3,1,0,0,landmark
PAICS,1,0,0,landmark
PAK1,1,0,0,landmark
PAK4,1,0,0,landmark
PAK6,1,0,0,landmark
PAN2,1,0,0,landmark
PARP1,1,0,0,landmark
PARP2,1,0,0,landmark
PAX8,1,0,0,landmark
PCBD1,1,0,0,landmark
PCCB,1,0,0,landmark
PCK2,1,0,0,landmark
PCM1,1,0,0,landmark
PCMT1,1,0,0,landmark
PCNA,1,1,0,"landmark,target"
PDCD2,0,1,0,target
PDGFA,1,0,0,landmark
PDHX,1,0,0,landmark
PDIA5,1,0,0,landmark
PDLIM1,1,0,0,landmark
PDS5A,1,0,0,landmark
PECR,1,0,0,landmark
PELO,0,1,0,target
PEX11A,1,0,0,landmark
PFKL,1,0,0,landmark
PFN1,0,1,0,target
PGD,0,1,0,target
PGK1,0,1,0,target
PGM1,1,0,0,landmark
PGR,0,0,1,pam50
PHGDH,1,0,1,"landmark,pam50"
PHKB,1,0,0,landmark
