gene,landmark,target,pam50,source
AARS1,1,0,0,landmark
ABCC5,1,0,0,landmark
ABCF1,1,0,0,landmark
ABCG2,0,1,0,target
ABHD4,1,0,0,landmark
ABHD6,1,0,0,landmark
ABL1,1,1,0,"landmark,target"
ACAA1,1,0,0,landmark
ACAT1,0,1,0,target
ACAT2,1,0,0,landmark
ACBD3,1,0,0,landmark
ACD,1,0,0,landmark
ACLY,1,0,0,landmark
ACTR3B,0,0,1,pam50
ADAM10,1,0,0,landmark
ADAT1,1,0,0,landmark
ADH5,1,0,0,landmark
ADI1,1,0,0,landmark
ADO,1,0,0,landmark
ADRB2,1,0,0,landmark
AGL,1,0,0,landmark
AHR,0,1,0,target
AKAP8,1,0,0,landmark
AKAP8L,1,0,0,landmark
AKR7A2,1,0,0,landmark
AKT1,1,1,0,"landmark,target"
AKT2,0,1,0,target
AKT3,0,1,0,target
ALAS1,1,0,0,landmark
ALDH7A1,1,0,0,landmark
ALDOA,1,0,0,landmark
ALK,0,1,0,target
AMDHD2,1,0,0,landmark
ANKRD10,1,0,0,landmark
ANLN,0,0,1,pam50
ANO10,1,0,0,landmark
ANPEP,0,1,0,target
ANXA7,1,0,0,landmark
APBB2,1,0,0,landmark
APH1A,0,1,0,target
APOE,1,0,0,landmark
APP,1,0,0,landmark
APPBP2,1,0,0,landmark
ARAF,0,1,0,target
ARF1,0,1,0,target
ARFIP2,1,0,0,landmark
ARHGAP1,1,0,0,landmark
ARHGEF12,1,0,0,landmark
ARHGEF2,1,0,0,landmark
ARID4B,1,0,0,landmark
ARID5B,1,0,0,landmark
ARL4C,1,0,0,landmark
ARNT2,1,0,0,landmark
ARPP19,1,0,0,landmark
ASAH1,1,1,0,"landmark,target"
ASCC3,1,0,0,landmark
ATF1,1,0,0,landmark
ATF5,1,0,0,landmark
ATF6,1,0,0,landmark
ATG3,1,0,0,landmark
ATM,0,1,0,target
ATMIN,1,0,0,landmark
ATP11B,1,0,0,landmark
ATP1A1,0,1,0,target
ATP1A2,0,1,0,target
ATP1A3,0,1,0,target
ATP1A4,0,1,0,target
ATP1B1,1,1,0,"landmark,target"
ATP1B2,0,1,0,target
ATP1B3,0,1,0,target
ATP1B4,0,1,0,target
ATP2C1,1,0,0,landmark
ATP6V0B,1,0,0,landmark
ATP6V1D,1,0,0,landmark
ATR,0,1,0,target
AURKA,1,1,0,"landmark,target"
AURKB,1,1,0,"landmark,target"
AURKC,0,1,0,target
AXIN1,1,0,0,landmark
BACE2,1,0,0,landmark
BAD,1,0,0,landmark
BAG1,0,0,1,pam50
BAG3,1,0,0,landmark
BAMBI,1,0,0,landmark
BAX,1,1,0,"landmark,target"
BCL2,1,1,1,"landmark,target,pam50"
BCL2L1,0,1,0,target
BCL2L2,0,1,0,target
BCL7B,1,0,0,landmark
BCR,0,1,0,target
BDH1,1,0,0,landmark
BECN1,1,0,0,landmark
BHLHE40,1,0,0,landmark
BID,1,0,0,landmark
BIRC2,1,0,0,landmark
BIRC5,1,1,1,"landmark,target,pam50"
BLCAP,1,0,0,landmark
BLMH,1,0,0,landmark
BLTP2,1,0,0,landmark
BLVRA,1,0,1,"landmark,pam50"
BMP4,1,0,0,landmark
BNIP3,1,0,0,landmark
BNIP3L,1,0,0,landmark
BPHL,1,0,0,landmark
BRAF,0,1,0,target
BRCA1,1,0,0,landmark
BRD2,0,1,0,target
BRD3,0,1,0,target
BRD4,0,1,0,target
BRDT,0,1,0,target
BTK,0,1,0,target
BZW2,1,0,0,landmark
C2CD2,1,0,0,landmark
C2CD2L,1,0,0,landmark
C2CD5,1,0,0,landmark
C5,1,0,0,landmark
CA9,0,1,0,target
CAB39,1,0,0,landmark
CALM3,1,0,0,landmark
CALU,1,0,0,landmark
CAMSAP2,1,0,0,landmark
CANT1,1,0,0,landmark
CAPN1,1,1,0,"landmark,target"
CASC3,1,0,0,landmark
CASP10,1,0,0,landmark
CASP2,1,0,0,landmark
CASP3,1,1,0,"landmark,target"
CASP7,1,1,0,"landmark,target"
CAST,1,0,0,landmark
CAT,1,0,0,landmark
CBLB,1,0,0,landmark
CBR1,1,0,0,landmark
CBR3,1,0,0,landmark
CCDC85B,1,0,0,landmark
CCDC86,1,0,0,landmark
CCDC92,1,0,0,landmark
CCL2,1,0,0,landmark
CCNA1,1,0,0,landmark
CCNA2,1,0,0,landmark
CCNB1,1,1,1,"landmark,target,pam50"
CCND1,1,0,0,landmark
CCND3,1,0,0,landmark
CCNE1,0,0,1,pam50
CCNE2,1,0,0,landmark
CCNF,1,0,0,landmark
CCNH,1,0,0,landmark
CCP110,1,0,0,landmark
CD320,1,0,0,landmark
CD40,1,0,0,landmark
CD44,1,0,0,landmark
CDC20,1,0,1,"landmark,pam50"
CDC25A,1,1,0,"landmark,target"
CDC25B,1,1,0,"landmark,target"
CDC25C,0,1,0,target
CDC42,1,0,0,landmark
CDC45,1,0,0,landmark
CDC6,0,0,1,pam50
CDCA4,1,0,0,landmark
CDH3,1,0,1,"landmark,pam50"
CDK1,1,1,0,"landmark,target"
CDK16,0,1,0,target
CDK17,0,1,0,target
CDK19,1,0,0,landmark
CDK2,1,1,0,"landmark,target"
CDK4,1,1,0,"landmark,target"
CDK5,0,1,0,target
CDK5R1,1,1,0,"landmark,target"
CDK6,1,1,0,"landmark,target"
CDK7,1,1,0,"landmark,target"
CDK9,0,1,0,target
CDKL5,0,1,0,target
CDKN1B,1,0,0,landmark
CDKN2A,1,0,0,landmark
CEBPD,1,0,0,landmark
CEBPZ,1,0,0,landmark
CENPE,1,0,0,landmark
CENPF,0,0,1,pam50
CEP55,0,0,1,pam50
CEP57,1,0,0,landmark
CERK,1,1,0,"landmark,target"
CETN3,1,0,0,landmark
CFLAR,1,0,0,landmark
CGRRF1,1,0,0,landmark
CHAC1,1,0,0,landmark
CHEK1,1,1,0,"landmark,target"
CHEK2,1,1,0,"landmark,target"
CHIC2,1,0,0,landmark
CHMP6,1,0,0,landmark
CHN1,1,0,0,landmark
CIAO3,1,0,0,landmark
CIAPIN1,1,0,0,landmark
CIRBP,1,0,0,landmark
CISD1,1,0,0,landmark
CLIC4,1,0,0,landmark
CLPX,1,0,0,landmark
CLSTN1,1,0,0,landmark
CLTA,0,1,0,target
CLTB,1,1,0,"landmark,target"
CLTC,1,1,0,"landmark,target"
CLTCL1,0,1,0,target
CMPK1,0,1,0,target
CNDP2,1,0,0,landmark
CNOT4,1,0,0,landmark
CNPY3,1,0,0,landmark
CNR2,0,1,0,target
COASY,1,0,0,landmark
COG2,1,0,0,landmark
COG4,1,0,0,landmark
COG7,1,0,0,landmark
COL1A1,1,0,0,landmark
COL4A1,1,0,0,landmark
COPB2,1,0,0,landmark
COPS7A,1,0,0,landmark
CORO1A,1,0,0,landmark
CPNE3,1,0,0,landmark
CPSF4,1,0,0,landmark
CPT1A,0,1,0,target
CREB1,1,0,0,landmark
CREG1,1,0,0,landmark
CRELD2,1,0,0,landmark
CRK,1,0,0,landmark
CRKL,1,0,0,landmark
CRTAP,1,0,0,landmark
CRYZ,1,0,0,landmark
CSK,1,0,0,landmark
CSNK1A1,1,0,0,landmark
CSNK1D,0,1,0,target
CSNK1E,1,1,0,"landmark,target"
CSNK2A1,0,1,0,target
CSNK2A2,1,1,0,"landmark,target"
CSRP1,1,0,0,landmark
CTNNAL1,1,0,0,landmark
CTNND1,1,0,0,landmark
CTTN,1,0,0,landmark
CUL1,0,1,0,target
CXCL2,1,0,0,landmark
CXCR2,0,1,0,target
CXCR4,1,0,0,landmark
CXXC5,0,0,1,pam50
CYB561,1,0,0,landmark
CYTH1,1,0,0,landmark
DAG1,1,0,0,landmark
DAXX,1,0,0,landmark
DCK,1,0,0,landmark
DCLK1,0,1,0,target
DCTD,1,0,0,landmark
DCUN1D4,1,0,0,landmark
DDB2,1,0,0,landmark
DDIT4,1,0,0,landmark
DDR1,1,0,0,landmark
DDX10,1,0,0,landmark
DDX42,1,0,0,landmark
DECR1,1,0,0,landmark
DENND2D,1,0,0,landmark
DERA,1,0,0,landmark
DFFA,1,0,0,landmark
DFFB,1,0,0,landmark
DHDDS,1,0,0,landmark
DHFR,0,1,0,target
DHRS7,1,0,0,landmark
DHX29,1,0,0,landmark
DIABLO,0,1,0,target
DIPK1A,1,0,0,landmark
DLD,1,0,0,landmark
DMTF1,1,0,0,landmark
DNAJA3,1,0,0,landmark
DNAJB1,1,0,0,landmark
DNAJB2,1,0,0,landmark
DNAJB6,1,0,0,landmark
DNAJC15,1,0,0,landmark
DNM1,1,1,0,"landmark,target"
DNM1L,1,0,0,landmark
DNMT1,1,1,0,"landmark,target"
DNMT3A,1,0,0,landmark
DNTTIP2,1,0,0,landmark
DPH2,1,0,0,landmark
DRAP1,1,0,0,landmark
DRD2,0,1,0,target
DSG2,1,0,0,landmark
DUSP11,1,0,0,landmark
DUSP14,1,0,0,landmark
DUSP22,1,0,0,landmark
DUSP3,1,0,0,landmark
DUSP4,1,0,0,landmark
DUSP6,1,0,0,landmark
DYRK3,1,0,0,landmark
E2F2,1,0,0,landmark
EAPP,1,0,0,landmark
EBNA1BP2,1,0,0,landmark
ECD,1,0,0,landmark
ECH1,1,0,0,landmark
EDEM1,1,0,0,landmark
EDN1,1,0,0,landmark
EED,1,0,0,landmark
EFCAB14,1,0,0,landmark
EGF,1,0,0,landmark
EGFR,1,1,1,"landmark,target,pam50"
EGR1,1,0,0,landmark
EHMT1,0,1,0,target
EHMT2,0,1,0,target
EIF4A2,0,1,0,target
EIF4E,0,1,0,target
EIF4EBP1,1,0,0,landmark
EIF4G1,0,1,0,target
EIF5,1,0,0,landmark
ELAC2,1,0,0,landmark
ELAVL1,1,0,0,landmark
ELOVL6,1,0,0,landmark
EML3,1,0,0,landmark
ENOPH1,1,0,0,landmark
ENOSF1,1,0,0,landmark
EPB41L2,1,0,0,landmark
EPHA2,0,1,0,target
EPHA3,1,0,0,landmark
EPHB2,1,0,0,landmark
EPN2,1,0,0,landmark
EPRS1,1,0,0,landmark
ERBB2,1,1,1,"landmark,target,pam50"
ERBB3,1,0,0,landmark
ESR1,0,1,1,"target,pam50"
ESR2,0,1,0,target
ETFB,1,0,0,landmark
ETS1,1,0,0,landmark
ETV1,1,1,0,"landmark,target"
EVL,1,0,0,landmark
EXO1,0,0,1,pam50
EXOSC4,1,0,0,landmark
EXT1,1,0,0,landmark
EZH2,1,1,0,"landmark,target"
F2R,0,1,0,target
FAAH,0,1,0,target
FAH,1,0,0,landmark
FAIM,1,0,0,landmark
FAM20B,1,0,0,landmark
FAS,1,0,0,landmark
FASN,0,1,0,target
FAT1,1,0,0,landmark
FBXL12,1,0,0,landmark
FBXO11,1,0,0,landmark
FBXO21,1,0,0,landmark
FBXO7,1,0,0,landmark
FCHO1,1,0,0,landmark
FDFT1,1,0,0,landmark
FEZ2,1,0,0,landmark
FGFR1,0,1,0,target
FGFR2,1,1,0,"landmark,target"
FGFR3,0,1,0,target
FGFR4,1,0,1,"landmark,pam50"
FHL2,1,0,0,landmark
FIS1,1,0,0,landmark
FKBP14,1,0,0,landmark
FKBP4,1,0,0,landmark
FLT1,0,1,0,target
FLT3,0,1,0,target
FLT4,0,1,0,target
FNTA,0,1,0,target
FOS,1,0,0,landmark
